TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK
nktr,2020-03-31,22,15,21,16,20,FALSE,19.39,31.653846740722656,NA,1.042804479598999,Health Care,1.1346054667354306,1.6324830706922462,6,2,9,1,4.2,5.4,4,6
hd,2020-03-31,226,175,213,176,212,FALSE,202.32,225.7857208251953,2.967359050445104,1.234069585800171,Consumer Discretionary,1.1170423092131279,1.115983199017375,2,2,1,1,1.8000000000000003,1.4000000000000001,2,1
pep,2020-03-31,143,111,135,112,134,FALSE,130.26,142.05262756347656,2.9330466317896176,0.9090707898139954,Consumer Staples,1.097804391217565,1.0905314568054396,3,4,1,2,3.1000000000000005,2.2,2,1
dis,2020-03-31,124,87,107,88,106,FALSE,101,130.48147583007812,1.7437828103272137,1.0196428298950195,Communication Services,1.2277227722772277,1.2918958002978032,3,1,2,1,1.9000000000000001,1.8,2,2
t,2020-03-31,41,27,33,28,32,FALSE,29.5,34.87036895751953,7.0508471990035755,0.9477600455284119,Communication Services,1.3898305084745763,1.1820464053396451,1,2,1,2,1.5000000000000002,1.4,1,1
o,2020-03-31,71,47,57,48,56,FALSE,49.32,64,5.667950544931476,1.2199687957763672,Real Estate,1.4395782643957826,1.29764801297648,1,2,2,2,1.6,1.8000000000000003,2,2
etn,2020-03-31,94,70,85,73,80,FALSE,78.15,91.16666412353516,3.7364044482328156,1.1778279542922974,Industrials,1.202815099168266,1.166560001580744,5,5,3,2,4.5,3.6,5,2
uber,2020-03-31,35,22,32,23,29,FALSE,28.33,40.75675582885742,NA,NA,Industrials,1.2354394634662902,1.4386429872522917,4,2,9,9,4.2,6.6000000000000005,3,9
duk,2020-03-31,97,77,90,78,84,FALSE,85.12,95.8125,4.440789440072568,0.975616455078125,Utilities,1.1395676691729322,1.1256167763157894,1,1,2,2,1.2,1.6,1,2
kmi,2020-03-24,19,9,14,NA,NA,FALSE,14.21,18.065217971801758,7.389162226011852,1.0938055515289307,Energy,1.3370865587614356,1.2713031647995607,3,2,3,4,2.6999999999999997,3,3,2.5
fcx,2020-03-24,9,3,9,NA,NA,FALSE,7.81,11.59473705291748,NA,1.4989078044891357,Materials,1.1523687580025608,1.48460141522631,2,1,2,1,1.5000000000000002,1.6,1.5,2
brk/b,2020-03-17,225,169,201,170,200,FALSE,185.63,237,NA,0.8804237246513367,Financials,1.212088563271023,1.2767332866454777,6,3,9,9,5.400000000000001,7.2,5,8
bp,2020-03-17,34,14,25,15,24,FALSE,23.38,31.930768966674805,10.778443032192103,1.0967679023742676,Energy,1.454234388366125,1.3657300670091876,2,1,1,3,1.6000000000000003,1.6,1,1
xyl,2020-03-17,76,59,76,60,68,FALSE,68,68.125,1.5300867468780746,1.101920247077942,Industrials,1.1176470588235294,1.0018382352941178,6,9,6,3,6.8999999999999995,6,8,6
bac,2020-03-10,37,19,26,20,24,FALSE,21.87,26.3799991607666,3.2936872306048928,1.2145791053771973,Financials,1.6918152720621855,1.206218525869529,4,5,5,3,4.3999999999999995,4.4,4,4
dvn,2020-03-10,25,5,10,NA,NA,FALSE,10.57,12.607142448425293,4.16272466996986,1.4538887739181519,Energy,2.3651844843897822,1.1927287084602927,1,3,5,1,2.2,3,2,2.5
ctva,2020-03-10,32,19,30,19,25,FALSE,25.4,30.454545974731445,2.0472440193957233,NA,Materials,1.2598425196850394,1.1989978730209232,1,2,1,2,1.5000000000000002,1.4,1.5,1
orcl,2020-03-03,60,44,56,45,55,FALSE,51.97,50.77777862548828,1.8472195084516603,0.7687225937843323,Information Technology,1.1545122185876469,0.977059430931081,5,12,5,12,8.5,7.800000000000001,10,9.5
csco,2020-02-28,48,34,43,35,41,FALSE,41.62,45.71739196777344,3.4598751975503585,0.8792459964752197,Information Technology,1.1532916866890919,1.0984476686154119,6,9,3,11,7.4,6.4,7,5
cost,2020-02-28,260,250,308,255,290,FALSE,305.4,321.4615478515625,0.9168303707649915,0.6937269568443298,Consumer Staples,0.8513425016371972,1.0525918397235183,7,6,6,6,6.4,6.200000000000001,7,7
ge,2020-02-04,10,10,13,NA,NA,FALSE,6.52,9.810525894165039,0.6134969188026125,1.0418248176574707,Industrials,1.5337423312883436,1.504681885608135,1,1,7,5,2,4.2,1,3
